Variable	Commentaire	Date de départ	Heure de départ	Valeur
S7:[CPU_IMPORT_EXPORT]QB0:2	Mvt vers le convoyeur d'approvisionnement (axe X)	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:3	Mvt vers les glissières  (axe X)	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:5	Mvt vers la station d'import/export (axe Y)	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:2	Sortir la butée de la glissière intermédiaire	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:3	Sortir la butée de la glissière externe	21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:4	Sortir le stoppeur intermédiaire (axe X )	21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:6		21/05/2021	11:11:48,463	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:7		21/05/2021	11:11:48,463	FAUX
FERMER_fermée		21/05/2021	11:11:48,463	FAUX
OUVRIR_ouvert		21/05/2021	11:11:48,463	FAUX
YCONV_y_conv		21/05/2021	11:11:48,463	FAUX
YSTA_y_sta		21/05/2021	11:11:48,463	FAUX
z_haut_z_bas		21/05/2021	11:11:48,463	FAUX
z_bas_z_haut		21/05/2021	11:11:48,463	FAUX
CONVIE_conv_fin		21/05/2021	11:11:48,463	FAUX
S_FERMER_fermée		21/05/2021	11:11:48,463	FAUX
S_OUVRIR_ouvert		21/05/2021	11:11:48,463	FAUX
S_YCONV_y_conv		21/05/2021	11:11:48,463	FAUX
S_YSTA_y_sta		21/05/2021	11:11:48,463	FAUX
S_z_haut_z_bas		21/05/2021	11:11:48,463	FAUX
S_z_bas_z_haut		21/05/2021	11:11:48,463	FAUX
S_CONVIE_conv_fin		21/05/2021	11:11:48,463	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	21/05/2021	11:11:48,585	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:4	Pince en position glissière intermédiaire sur l'axe X.	21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:11:48,585	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:6	Glissière externe pleine	21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:2	Stoppeur intermédiaire rentrée	21/05/2021	11:11:48,585	VRAI
S7:[CPU_IMPORT_EXPORT]IB2:4	Arret d'urgence	21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:6	Présence d'un 6packs sur la butée de la glissière intermédiaire	21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:4	Sortir le stoppeur intermédiaire (axe X )	21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:6		21/05/2021	11:11:48,585	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:2	Mvt vers le convoyeur d'approvisionnement (axe X)	21/05/2021	11:13:52,339	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:2	Pince en position convoyeur d'approvisionnement sur l'axe X.	21/05/2021	11:13:53,547	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:2	Mvt vers le convoyeur d'approvisionnement (axe X)	21/05/2021	11:13:53,547	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	21/05/2021	11:13:59,011	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	21/05/2021	11:14:05,324	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:7		21/05/2021	11:14:05,324	VRAI
CONVIE_conv_fin		21/05/2021	11:14:05,324	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	21/05/2021	11:14:05,848	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:2	présence d'un 6packs à la fin du convyeur d'approvisionnement	21/05/2021	11:14:08,225	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:08,225	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	21/05/2021	11:14:08,225	FAUX
CONVIE_conv_fin		21/05/2021	11:14:08,225	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:08,349	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:08,471	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:08,594	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:08,718	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:08,844	FAUX
z_haut_z_bas		21/05/2021	11:14:08,844	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:10,237	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	21/05/2021	11:14:10,237	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:10,237	FAUX
z_haut_z_bas		21/05/2021	11:14:10,237	FAUX
FERMER_fermée		21/05/2021	11:14:10,237	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	21/05/2021	11:14:10,360	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	21/05/2021	11:14:10,483	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	21/05/2021	11:14:10,483	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:10,483	VRAI
FERMER_fermée		21/05/2021	11:14:10,483	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:10,606	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:10,727	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:10,850	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:10,850	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:10,850	FAUX
z_bas_z_haut		21/05/2021	11:14:10,850	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:2	présence d'un 6packs à la fin du convyeur d'approvisionnement	21/05/2021	11:14:11,129	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:12,235	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	21/05/2021	11:14:12,235	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:12,235	FAUX
z_bas_z_haut		21/05/2021	11:14:12,235	FAUX
YCONV_y_conv		21/05/2021	11:14:12,235	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:6	Pince en position station import/export sur l'axe Y.	21/05/2021	11:14:12,359	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:5	Pince en position convoyeur central sur l'axe Y.	21/05/2021	11:14:13,627	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	21/05/2021	11:14:13,627	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:13,627	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:13,627	VRAI
YCONV_y_conv		21/05/2021	11:14:13,627	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:13,750	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:13,932	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:14,058	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:14,183	FAUX
z_haut_z_bas		21/05/2021	11:14:14,183	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:15,447	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:0	Ouvrir la pince	21/05/2021	11:14:15,447	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:15,447	FAUX
z_haut_z_bas		21/05/2021	11:14:15,447	FAUX
OUVRIR_ouvert		21/05/2021	11:14:15,447	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	21/05/2021	11:14:15,632	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	21/05/2021	11:14:15,632	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:0	Ouvrir la pince	21/05/2021	11:14:15,632	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:15,632	VRAI
OUVRIR_ouvert		21/05/2021	11:14:15,632	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:15,755	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:15,879	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:15,970	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:16,092	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:16,214	FAUX
z_bas_z_haut		21/05/2021	11:14:16,214	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:17,634	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:5	Mvt vers la station d'import/export (axe Y)	21/05/2021	11:14:17,634	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:17,634	FAUX
z_bas_z_haut		21/05/2021	11:14:17,634	FAUX
YSTA_y_sta		21/05/2021	11:14:17,634	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:5	Pince en position convoyeur central sur l'axe Y.	21/05/2021	11:14:17,763	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:6	Pince en position station import/export sur l'axe Y.	21/05/2021	11:14:18,938	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	21/05/2021	11:14:18,938	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:5	Mvt vers la station d'import/export (axe Y)	21/05/2021	11:14:18,938	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:6		21/05/2021	11:14:18,938	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:7		21/05/2021	11:14:18,938	FAUX
YSTA_y_sta		21/05/2021	11:14:18,938	FAUX
YCONV_y_conv		21/05/2021	11:14:18,938	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:6	Pince en position station import/export sur l'axe Y.	21/05/2021	11:14:19,058	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:5	Pince en position convoyeur central sur l'axe Y.	21/05/2021	11:14:20,232	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:4	Mvt vers le convoyeur central (axe Y)	21/05/2021	11:14:20,232	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:20,232	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:20,232	VRAI
YCONV_y_conv		21/05/2021	11:14:20,232	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:20,355	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:20,479	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:20,631	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:20,631	FAUX
z_haut_z_bas		21/05/2021	11:14:20,631	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:22,027	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	21/05/2021	11:14:22,027	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:22,027	FAUX
z_haut_z_bas		21/05/2021	11:14:22,027	FAUX
FERMER_fermée		21/05/2021	11:14:22,027	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	21/05/2021	11:14:22,149	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	21/05/2021	11:14:22,275	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	21/05/2021	11:14:22,275	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:22,275	VRAI
FERMER_fermée		21/05/2021	11:14:22,275	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:22,396	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:22,523	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:22,645	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:22,767	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:22,891	FAUX
z_bas_z_haut		21/05/2021	11:14:22,891	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:24,135	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:5	Mvt vers la station d'import/export (axe Y)	21/05/2021	11:14:24,135	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:24,135	FAUX
z_bas_z_haut		21/05/2021	11:14:24,135	FAUX
YSTA_y_sta		21/05/2021	11:14:24,135	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:5	Pince en position convoyeur central sur l'axe Y.	21/05/2021	11:14:24,321	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:6	Pince en position station import/export sur l'axe Y.	21/05/2021	11:14:25,430	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:5	Mvt vers la station d'import/export (axe Y)	21/05/2021	11:14:25,430	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:2	Sortir la butée de la glissière intermédiaire	21/05/2021	11:14:25,430	VRAI
YSTA_y_sta		21/05/2021	11:14:25,430	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:7	butée de la glissière intermédiaire sortie	21/05/2021	11:14:25,618	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:4	Sortir le stoppeur intermédiaire (axe X )	21/05/2021	11:14:25,618	VRAI
S7:[CPU_IMPORT_EXPORT]IB2:2	Stoppeur intermédiaire rentrée	21/05/2021	11:14:25,830	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:1	Stoppeur intermédiaire sortie	21/05/2021	11:14:25,954	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:3	Mvt vers les glissières  (axe X)	21/05/2021	11:14:25,954	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:2	Pince en position convoyeur d'approvisionnement sur l'axe X.	21/05/2021	11:14:26,076	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:4	Pince en position glissière intermédiaire sur l'axe X.	21/05/2021	11:14:26,921	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:3	Mvt vers les glissières  (axe X)	21/05/2021	11:14:26,921	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:26,921	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:27,044	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:27,170	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:27,293	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:27,418	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:27,541	FAUX
z_haut_z_bas		21/05/2021	11:14:27,541	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	21/05/2021	11:14:28,346	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:5	Glissière intermédiaire pleine	21/05/2021	11:14:28,717	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:29,023	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:0	Ouvrir la pince	21/05/2021	11:14:29,023	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:29,023	FAUX
z_haut_z_bas		21/05/2021	11:14:29,023	FAUX
OUVRIR_ouvert		21/05/2021	11:14:29,023	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	21/05/2021	11:14:29,236	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	21/05/2021	11:14:29,236	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:0	Ouvrir la pince	21/05/2021	11:14:29,236	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:29,236	VRAI
OUVRIR_ouvert		21/05/2021	11:14:29,236	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:29,362	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:29,362	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:29,484	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:29,639	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:29,639	FAUX
z_bas_z_haut		21/05/2021	11:14:29,639	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:31,030	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:31,030	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:2	Sortir la butée de la glissière intermédiaire	21/05/2021	11:14:31,030	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:4	Sortir le stoppeur intermédiaire (axe X )	21/05/2021	11:14:31,030	FAUX
z_bas_z_haut		21/05/2021	11:14:31,030	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:4	Pince en position glissière intermédiaire sur l'axe X.	21/05/2021	11:14:31,155	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:7	butée de la glissière intermédiaire sortie	21/05/2021	11:14:31,155	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:1	Stoppeur intermédiaire sortie	21/05/2021	11:14:31,155	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:2	Stoppeur intermédiaire rentrée	21/05/2021	11:14:31,155	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:2	Mvt vers le convoyeur d'approvisionnement (axe X)	21/05/2021	11:14:31,155	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:5	Glissière intermédiaire pleine	21/05/2021	11:14:31,738	FAUX
S7:[CPU_IMPORT_EXPORT]IB2:6	Présence d'un 6packs sur la butée de la glissière intermédiaire	21/05/2021	11:14:31,861	VRAI
S7:[CPU_IMPORT_EXPORT]IB2:6	Présence d'un 6packs sur la butée de la glissière intermédiaire	21/05/2021	11:14:32,020	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:2	Pince en position convoyeur d'approvisionnement sur l'axe X.	21/05/2021	11:14:32,323	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:2	Mvt vers le convoyeur d'approvisionnement (axe X)	21/05/2021	11:14:32,323	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	21/05/2021	11:14:32,323	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:6		21/05/2021	11:14:32,323	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:7		21/05/2021	11:14:32,323	VRAI
CONVIE_conv_fin		21/05/2021	11:14:32,323	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:1	présence d'un 6packs au début du convoyeur d'approvisionnement	21/05/2021	11:14:32,728	FAUX
S7:[CPU_IMPORT_EXPORT]IB1:2	présence d'un 6packs à la fin du convyeur d'approvisionnement	21/05/2021	11:14:35,210	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:35,210	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:1	Rotation du convoyeur d'approvisionnement	21/05/2021	11:14:35,210	FAUX
CONVIE_conv_fin		21/05/2021	11:14:35,210	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:35,334	VRAI
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:35,457	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:35,579	FAUX
S7:[CPU_IMPORT_EXPORT]QB1:0	Déverrouiller le frein vertical (axe Z)	21/05/2021	11:14:35,670	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:7	Pince en position haute sur l'axe Z	21/05/2021	11:14:35,792	FAUX
z_haut_z_bas		21/05/2021	11:14:35,792	VRAI
S7:[CPU_IMPORT_EXPORT]IB1:0	Pince en position basse sur l'axe Z	21/05/2021	11:14:37,151	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	21/05/2021	11:14:37,151	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:37,151	FAUX
z_haut_z_bas		21/05/2021	11:14:37,151	FAUX
FERMER_fermée		21/05/2021	11:14:37,151	VRAI
S7:[CPU_IMPORT_EXPORT]IB0:1	Pince ouverte.	21/05/2021	11:14:37,276	FAUX
S7:[CPU_IMPORT_EXPORT]IB0:0	Pince fermée.	21/05/2021	11:14:37,398	VRAI
S7:[CPU_IMPORT_EXPORT]QB0:1	Fermer la pince	21/05/2021	11:14:37,398	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:6	Descendre la pince (axe Z)	21/05/2021	11:14:37,398	VRAI
FERMER_fermée		21/05/2021	11:14:37,398	FAUX
S7:[CPU_IMPORT_EXPORT]QB0:7	Monter la pince (axe Z)	21/05/2021	11:14:37,522	VRAI
